Trait,Indicator,H2r,pvalue
VOXEL_44_128_118,121.641,0.310838,0.0429914
VOXEL_44_128_132,112.679,0.0684982,0.252549
VOXEL_44_129_62,111.285,0.0667841,0.264347
VOXEL_44_129_64,112.678,0.108258,0.214757
VOXEL_44_129_65,110.533,0.0522969,0.331734
VOXEL_44_129_67,108.975,0.0273808,0.40232
VOXEL_44_129_71,108.477,0.0189774,0.434313
VOXEL_44_129_72,114.534,0.147231,0.188762
VOXEL_44_129_74,120.554,0.271919,0.0411918
VOXEL_44_129_93,114.652,0.152425,0.159368
VOXEL_44_129_117,109.508,0.041278,0.368726
VOXEL_44_129_118,111.927,0.103555,0.273345
VOXEL_44_130_62,109.151,0.0289467,0.373325
VOXEL_44_130_63,118.142,0.191114,0.0657868
VOXEL_44_130_64,113.58,0.124445,0.234753
VOXEL_44_130_74,118.957,0.226172,0.0679864
VOXEL_44_130_75,119.165,0.253828,0.0381924
VOXEL_44_130_76,121.932,0.233305,0.0315937
VOXEL_44_130_77,111.206,0.0851063,0.315737
VOXEL_44_130_78,111.063,0.0616721,0.29774
VOXEL_44_130_79,116.156,0.120402,0.120976
VOXEL_44_130_80,119.704,0.235186,0.0581884
VOXEL_44_130_86,116.061,0.125607,0.131774
VOXEL_44_130_87,109.878,0.0412992,0.358328
VOXEL_44_130_115,109.328,0.0391694,0.373925
VOXEL_44_130_117,107.971,0.00972602,0.453309
VOXEL_44_131_81,116.493,0.218525,0.138772
VOXEL_44_131_82,114.983,0.192278,0.179564
VOXEL_44_131_83,109.461,0.0430659,0.370726
VOXEL_44_131_84,107.671,0.0033431,0.475105
VOXEL_44_131_85,112.651,0.089084,0.226755
VOXEL_44_131_114,112.433,0.108828,0.232354
VOXEL_44_131_115,112.834,0.119141,0.205559
VOXEL_44_131_116,111.584,0.0787425,0.245751
VOXEL_44_132_113,124.099,0.366871,0.0139972
VOXEL_44_132_114,118.382,0.228475,0.0635873
VOXEL_44_132_115,118.309,0.220866,0.0579884
VOXEL_44_133_112,128.345,0.366264,0.00179964
VOXEL_44_133_113,126.092,0.389056,0.00959808
VOXEL_44_133_114,128.65,0.416752,0.00339932
VOXEL_44_133_129,111.476,0.0821987,0.276345
VOXEL_44_134_111,123.964,0.2495,0.00479904
VOXEL_44_134_112,130.25,0.360676,0.00059988
VOXEL_44_134_113,129.156,0.400895,0.0019996
VOXEL_44_134_116,120.081,0.143728,0.0475905
VOXEL_44_135_110,117.576,0.179269,0.0717856
VOXEL_44_135_111,118.847,0.189254,0.0489902
VOXEL_44_135_112,124.71,0.313341,0.00459908
VOXEL_44_135_114,113.209,0.0723031,0.170166
VOXEL_44_135_115,116.454,0.109765,0.125775
